	m	o	x	s	u	w	y	{	}	þ	 	"	ö	ü	(	*	,	.	0	2	4	6	8	:	@	­	&	0xc	·	»	0xb	¿	\	q	b	d	f	h	j	l	n	p	r	t	v	0xd	z	ç	0x9	!	#	%	'	)	[	-	/	1	3	5	7	9	;	?	0xa	ð	¡	«	ý	]	_	a	c	e	g	i	k	"																																																																	
,	92716	65305	2292	185850	31603	11999	87876	29	5	17689	2991413	54935	17005	9238	618240	848	3634	3751	3809	15554	4122	3493	4356	1378	57	1	19	0	1339	32	0	2	10	2013	286201	98388	47268	116232	14573	28129	41625	51855	34508	114840	22021	67362	19153	25207	151	42	1666	416	4917	202	815	43408	236	33436	7138	5935	3378	3743	27	30	7828	27	1	4	2038	40	67	189993	61629	102328	96069	136821	161147
.	16408	22489	755	36342	6586	3106	17090	8	88	4562	2238610	43116	4809	1761	17127	363	1327714	1634108	20953	10998	4555	3914	3698	34791	50	1	47	0	12	99	0	2	32	310	50737	20574	8480	31511	3738	6632	16843	10304	5761	26082	7659	573100	4810	4607	891	7836	41	66	4816	20249	287	2222	411	15981	5803	8895	3675	5400	187	1540	72304	15	0	5	506	1133	75	44969	43579	21053	18078	18531	23160
0	1917	131	1337	789	496	107	261	3	17	15	151324	650	3	113	198	245	9496	22674	162486	29001	14146	11640	11287	3904	29	0	168	0	1	0	0	0	12	31	1015	2280	296	370	12	6591	401	145	177	637	121	4702	35	1	752	99	31	684	22362	8982	4	12959	2196	29473	30153	12750	13627	13235	405	65	385	3	0	0	204	1427	114	704	805	531	329	714	1340
2	633	266	1079	683	71	38	469	2	31	54	86746	710	1	3	276	339	6849	31047	90449	20075	20160	15000	16189	5268	89	0	126	0	2	0	0	0	22	18	538	2155	341	113	13	390	1013	904	103	158	83	3679	25	1	692	51	16	73	7668	14404	3	11999	2524	24598	22069	23658	18188	16467	227	50	249	0	1	0	10	1639	156	343	455	215	216	150	660
4	408	39	730	180	243	42	68	0	10	2	56180	275	5	296	84	163	4241	17483	24230	12631	13163	11344	11895	2957	39	0	74	0	7	0	0	0	1	12	215	465	131	88	14	626	90	85	39	852	40	2604	23	3	626	43	13	75	4692	7584	1	7595	1514	14056	13503	17091	13463	13220	215	27	124	0	0	0	0	1163	107	343	222	330	152	42	330
6	420	18	230	224	40	11	151	2	5	12	43616	214	0	1	80	75	3815	12897	21058	10926	14204	12907	11633	2815	41	0	59	0	0	0	0	0	2	5	252	852	186	66	11	251	174	27	37	227	104	2209	9	3	577	22	10	64	3571	6275	3	5368	1643	13442	12814	12761	12979	13857	189	32	138	0	0	0	33	968	59	303	233	214	65	59	312
8	489	28	367	116	18	8	47	0	7	0	37242	168	0	2	72	70	3760	11118	27822	12535	12789	14144	13335	1703	22	0	108	0	1	1	0	0	3	4	287	879	98	73	3	418	46	39	42	296	45	2070	6	1	577	23	25	63	3706	5292	1	4571	1278	14207	14098	13190	14935	15235	96	14	148	0	0	0	2	901	59	167	251	257	47	322	270
:	16470	14390	470	37187	12354	2805	15174	12	84	1925	1235107	1274	2289	968	1075	129	230	481	6623	5156	3836	455	546	670	19	1	1	0	0	2	0	0	345	369	37350	17478	7436	18489	2787	5500	11207	11179	6663	18701	5736	66718	2786	2834	129	37	350	103	222	9926	38	1046	41462	6284	5562	3196	402	380	37	122	6181	5	0	0	414	993	18	34784	11928	17014	13661	15412	24618
@	366	87	32	453	254	202	194	12	3	0	266	29	0	0	18	33	41	32	2	50	5	3	16	5	151	0	8	0	2	0	0	0	1	15	200	295	99	317	23	137	508	216	104	544	96	19	69	1	0	37	99	12	10	35	0	62	1	49	12	7	4	10	0	5	4	0	0	0	0	1	4	290	371	170	213	285	206
­	114	11	0	57	20	1	70	0	0	23	67	1	0	2	0	0	2	3	0	0	0	0	0	7	0	62	0	0	0	0	0	0	0	0	29	165	8	26	1	247	108	9	169	118	30	2	14	12	0	1	0	0	0	6	0	1	0	0	0	1	0	0	0	0	1	30	0	0	1	1	0	6	31	0	15	9	63
&	437	97	5	482	70	111	91	2	0	2	6544	28	2	0	40	10	41	15	1	25	7	5	1	3	8	0	62	0	1	0	0	0	0	185	518	406	197	140	52	203	149	323	313	421	79	37	13	10	0	16	565	31	35	11	0	3	23	17	8	6	4	3	2	7	6	0	0	0	14	1	4	215	344	181	174	198	142
0xc	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
